5,7,11,21,22,48
4,6,11,22,30,42
3,7,31,32,40,41
2,4,16,29,38,45
1,2,16,20,22,32
6,8,23,24,35,36
3,17,23,25,29,44
2,5,7,14,40,41
2,13,28,30,32,36
19,21,30,39,47,49
3,12,26,30,38,47
5,6,7,10,15,23
6,14,16,25,43,49
3,18,19,29,42,49
5,10,19,31,35,43
2,22,31,32,39,43
7,22,28,36,43,44
7,9,13,14,17,36
3,8,11,17,20,49
11,16,19,29,41,43
3,18,28,29,38,48
11,17,20,26,28,38
3,11,18,29,33,46
2,8,15,28,31,36
11,20,30,31,34,40
3,6,26,38,39,47
6,19,25,31,40,47
11,14,16,24,36,42
3,9,17,31,36,39
3,8,9,34,35,39
13,17,19,25,28,42
5,15,21,27,29,48
2,6,25,27,29,30
2,3,22,29,35,37
1,22,26,37,39,44
1,17,19,31,34,38
12,22,24,37,41,43
12,16,28,40,42,48
10,21,22,23,30,40
4,11,20,21,30,46
8,13,22,32,40,43
7,14,26,30,33,43
3,23,31,32,37,41
17,27,42,43,46,47
3,9,12,35,44,48
9,11,22,29,46,48
14,25,29,38,44,46
9,32,38,40,44,49
4,10,14,24,38,40
7,16,21,23,26,33
9,18,20,22,24,25
10,12,13,30,36,45
9,12,15,19,24,38
12,13,22,30,35,36
6,12,13,28,32,33
5,12,15,16,35,46
9,19,24,39,42,43
9,16,19,24,36,42
7,12,19,30,33,35
11,28,31,36,38,42
1,24,30,33,39,47
13,20,22,41,42,49
4,9,15,19,26,48
7,18,22,38,39,49
5,6,17,19,27,38
2,12,18,34,35,44
4,5,17,25,27,35
4,26,27,40,44,46
6,9,10,22,32,43
6,8,23,24,25,46
16,19,25,36,39,48
20,28,31,36,44,45
5,8,14,23,29,38
6,22,39,41,43,49
11,15,16,26,32,36
2,18,23,26,42,46
24,32,36,37,45,48
3,12,15,26,34,36
17,18,42,46,47,49
7,9,16,17,26,32
4,18,29,33,42,44
10,15,16,18,35,37
7,8,17,31,44,48
4,18,21,29,36,43
25,26,30,32,39,46
8,9,11,19,31,48
5,13,24,28,38,47
5,13,16,33,34,44
10,16,24,32,43,45
4,7,12,27,31,38
3,12,23,33,36,41
1,7,10,23,25,40
7,10,29,30,34,46
3,22,30,36,38,43
5,7,8,11,20,24
4,6,20,28,42,48
14,17,21,37,42,47
6,12,32,39,43,46
13,16,28,38,48,49
18,24,28,30,35,49
3,4,25,46,47,48
12,13,22,23,40,44
3,7,23,34,35,48
6,10,30,35,38,48
2,14,34,35,40,41
1,19,23,25,28,30
9,11,20,21,26,42
2,7,22,30,32,39
9,21,24,37,39,42
2,5,6,16,21,31
2,7,13,16,27,34
10,13,16,29,40,44
5,13,17,19,31,41
20,21,24,27,28,43
12,23,27,35,42,47
3,6,11,21,43,44
6,11,12,17,42,47
6,20,28,33,38,43
12,21,30,32,41,44
1,6,7,13,28,34
2,18,26,32,36,39
6,10,15,18,41,44
6,10,22,24,38,41
3,4,18,25,26,45
5,17,26,29,37,39
3,17,26,29,31,41
5,6,19,34,41,49
9,15,20,25,33,38
14,26,28,30,33,38
9,10,11,12,13,37
6,8,11,20,40,41
5,6,7,21,31,45
3,11,15,22,37,40
3,24,30,36,41,46
2,5,10,15,29,49
1,3,22,28,31,35
7,9,10,18,23,36
14,15,16,25,29,47
14,18,21,25,39,43
18,19,23,39,40,47
6,11,17,18,32,33
8,23,24,32,38,45
7,11,25,27,33,39
16,32,38,43,44,49
1,6,14,40,42,47
4,31,34,35,36,46
9,13,16,19,39,48
1,3,21,23,39,42
4,7,24,31,33,45
6,19,21,32,34,37
1,23,32,34,36,44
12,14,16,26,27,31
11,15,27,29,30,48
1,12,25,35,42,49
22,23,28,30,31,35
4,9,21,26,39,43
